NoPartie,Date,Salle,NomAnimateur,NoQuestionnaire,NoÉquipeA,NoÉquipeB,NoÉquipeQuestionnaire,LienReunion,LienConsole,LienBouton
41,2024-05-01,JT,Martin Sirois,1,2,1,8,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTVmZTFjZTktMWVmZi00MWRlLWI3ZDQtNGI5MjczZmVjM2Y1%40thread.v2/0?context=%7b%22Tid%22%3a%22258f1f99-ee3d-42c7-bfc5-7af1b2343e02%22%2c%22Oid%22%3a%22da7c6fb2-7ad0-40d8-9315-b465ed4eee8b%22%7d,http://buz40.com/console/StatCan/Match 1: bidon,http://buz40.com/bouton/?no=999999
42,2024-05-01,RHC,Sébastien Landry,1,7,6,8,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OThlMThhZTQtZThkZi00ZDE0LWIwMTgtMGIxY2VkMWIxOWFh%40thread.v2/0?context=%7b%22Tid%22%3a%22258f1f99-ee3d-42c7-bfc5-7af1b2343e02%22%2c%22Oid%22%3a%22da7c6fb2-7ad0-40d8-9315-b465ed4eee8b%22%7d,http://buz40.com/console/StatCan/Match 2: bidon,http://buz40.com/bouton/?no=999999
43,2024-05-15,JT,Philippe Bérubé,2,3,5,1,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTFhZmUzMzctNGI5Yy00MDY1LThiZGMtM2UxZjM1ZWUyNGMz%40thread.v2/0?context=%7b%22Tid%22%3a%22258f1f99-ee3d-42c7-bfc5-7af1b2343e02%22%2c%22Oid%22%3a%22da7c6fb2-7ad0-40d8-9315-b465ed4eee8b%22%7d,http://buz40.com/console/StatCan/Match 3: bidon,http://buz40.com/bouton/?no=999999
44,2024-05-15,RHC,Stéphane Mongeau,2,4,8,1,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OGM0YzdiNGEtNjgwMy00ZTQzLWFmMzItNjQ0OGFkM2UzY2Y3%40thread.v2/0?context=%7b%22Tid%22%3a%22258f1f99-ee3d-42c7-bfc5-7af1b2343e02%22%2c%22Oid%22%3a%22da7c6fb2-7ad0-40d8-9315-b465ed4eee8b%22%7d,http://buz40.com/console/StatCan/Match 4: bidon,http://buz40.com/bouton/?no=999999
